,Event,Record Attendance,Record Week,This Week
588,Denton Dene,263,24/06/2023,99
589,Depot Park,167,23/09/2023,91
590,Derby Park juniors,42,08/03/2020,16
591,Derry City,239,01/01/2020,151
592,Derry City juniors,101,14/01/2018,60
593,Derrynoid Forest,60,05/03/2022,30
594,Des Connor Park juniors,340,16/04/2023,160
595,Des Moines Creek,107,02/09/2023,27
596,Desborough Green Space juniors,137,05/05/2019,19
597,Devils Peak,54,24/07/2021,38
598,Devils Peak,54,26/11/2022,38
599,Devonport,331,10/02/2018,191
600,Devonport juniors,97,16/07/2023,83
601,Dewsbury,326,01/01/2020,149
602,Dewsbury juniors,75,22/05/2016,19
603,Dewsbury juniors,75,30/04/2017,19
604,Diamond Creek,397,01/01/2020,237
605,Didcot,412,20/04/2019,139
606,Dietenbach,100,03/10/2023,61
607,Dinton Pastures,656,01/01/2020,287
608,Dinton Pastures juniors,82,20/08/2023,72
609,"Dishley, Loughborough",520,27/07/2019,120
610,Dixon Field,164,13/05/2023,45
611,Dixton juniors,49,26/01/2020,29
612,Dodder Valley,341,05/11/2022,140
613,Doddington Hall,396,25/01/2020,288
614,Dolgellau,174,20/04/2019,31
615,Dolls Point,315,30/09/2023,282
616,Donabate,319,18/01/2020,130
617,Donaupark,204,22/04/2023,123
618,Donauradweg,35,01/10/2022,25
619,Donauradweg,35,18/03/2023,25
620,Donauradweg,35,09/09/2023,25
621,Donauradweg,35,30/09/2023,25
622,Donauradweg,35,28/10/2023,25
623,Dorset Recreation Reserve,173,05/11/2022,140
624,Dorset Recreation Reserve,173,30/09/2023,140
625,Dover Waterfront,218,30/09/2023,67
626,Dowds Farm juniors,147,08/03/2020,80
627,Downham Market Academy,98,05/03/2022,42
628,Downsview,132,28/10/2023,68
629,Downview,54,07/03/2020,
630,Dreiländergarten,111,28/10/2023,52
631,Dromlena Lawn juniors,59,03/09/2023,36
632,Drumblade,333,01/09/2018,60
633,Drumchapel,107,01/06/2019,36
634,Drumpellier Country,339,25/12/2022,
635,Drumpellier juniors,89,26/01/2020,73
636,Druridge Bay,502,01/01/2019,136
637,Dubbo,460,27/04/2019,337
638,Dudley,402,11/01/2020,127
639,Duffins Trail,59,09/07/2022,12
640,Duikersdrift,145,03/11/2018,15
641,Dukeries juniors,40,06/10/2019,9
642,Dullstroom,113,30/09/2017,32
643,Duloch juniors,90,01/09/2019,46
644,Duloch juniors,90,15/09/2019,46
645,Dulwich,778,18/01/2020,453
646,Dumfries juniors,143,03/03/2019,72
647,Dundalk,262,01/04/2017,69
648,Dundalk IT juniors,62,19/09/2021,42
649,Dundalk IT juniors,62,23/01/2022,42
650,Dunedin,276,01/02/2020,200
651,Dunfermline,394,01/01/2020,190
652,Dungannon Park,205,17/08/2019,76
653,Dungloe,79,20/04/2019,29
654,Dunleath Playing Fields,179,26/03/2022,
655,Dunstable Downs,268,23/02/2019,39
656,Durban Point,551,12/01/2019,213
657,Durbanville,1457,20/01/2018,329
658,Durham,608,13/05/2017,409
659,Durham City juniors,124,02/10/2016,58
660,Durham NC,119,24/06/2023,76
661,Durlston Country Park,226,29/07/2023,55
662,Dusi,793,10/02/2018,134
